Vendor,Model,Firmware,Hours,Temp °C,Life Used %,Read Err Rate,Media Errs,Risk %,Risk Level,Likely Failure,Actual Fail
VendorC,Model-ULTRA,FW2.0,15573,40.6,102.9,19.33,1,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-PRO,FW2.0,2625,37.2,23.2,25.95,0,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-X2,FW2.1,56047,42.0,94.2,17.43,0,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-PRO,FW1.1,103,59.7,0.6,0.41,0,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-ULTRA,FW2.0,1481,41.3,16.6,17.96,4,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-ULTRA,FW2.0,2394,46.8,21.1,16.62,0,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-X2,FW2.0,15168,45.0,92.5,13.66,1,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-PRO,FW1.0,1816,41.2,18.7,21.34,0,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-X1,FW2.0,2945,43.1,21.7,13.52,4,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-X1,FW2.1,46352,47.7,123.7,1.4,2,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-ULTRA,FW1.2,49063,50.5,99.2,5.86,0,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-X2,FW2.1,31911,37.0,95.0,8.13,0,100.0,CRITICAL,Wear-Out Failure,1
VendorC,Model-PRO,FW2.0,840,34.1,20.1,20.14,4,100.0,CRITICAL,Early-Life Defect,1
VendorC,Model-ULTRA,FW2.0,41562,43.8,27.7,19.17,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.0,38051,42.3,32.6,14.92,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW2.0,20747,48.1,15.4,17.18,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-PRO,FW1.0,11418,39.5,42.8,12.67,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW1.0,229,25.7,14.8,26.88,0,99.9,CRITICAL,Early-Life Defect,1
VendorC,Model-PRO,FW1.0,31005,42.3,4.8,30.54,4,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-PRO,FW2.0,56964,32.4,51.6,14.08,4,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW2.0,22054,28.9,10.9,10.58,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW2.0,47524,51.3,19.9,12.88,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW1.0,36584,46.9,22.5,23.13,4,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.0,12477,40.8,28.7,10.63,3,99.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.0,45785,46.7,35.8,11.71,5,99.7,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW2.1,50212,37.1,102.0,3.51,2,99.5,CRITICAL,Wear-Out Failure,1
VendorC,Model-X2,FW1.0,46010,31.9,21.1,13.9,4,99.5,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X2,FW1.0,48807,49.4,26.8,19.86,3,99.5,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.1,1032,43.0,26.5,16.02,0,99.4,CRITICAL,Early-Life Defect,1
VendorC,Model-ULTRA,FW1.0,2269,49.8,43.7,16.14,0,99.4,CRITICAL,Early-Life Defect,1
VendorC,Model-LITE,FW1.0,51595,48.9,41.4,15.07,4,99.4,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-LITE,FW1.0,20311,32.9,53.4,19.82,3,99.4,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW2.0,30025,51.4,15.6,12.79,4,99.4,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.0,9434,53.4,16.1,10.15,3,99.3,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-LITE,FW1.2,2242,38.7,26.7,19.87,2,99.3,CRITICAL,Early-Life Defect,1
VendorC,Model-X2,FW2.0,13047,40.8,0.3,16.3,3,99.2,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-ULTRA,FW1.0,14608,38.8,24.7,13.17,3,98.9,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW1.0,167,36.1,17.9,20.42,2,98.9,CRITICAL,Early-Life Defect,1
VendorC,Model-PRO,FW2.0,54112,26.3,1.8,33.03,3,98.4,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-LITE,FW2.1,646,29.2,15.6,10.55,0,97.7,CRITICAL,Early-Life Defect,1
VendorC,Model-LITE,FW2.0,16871,39.6,3.5,23.23,3,97.5,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X2,FW2.0,1978,34.9,23.2,5.29,0,96.7,CRITICAL,Early-Life Defect,1
VendorC,Model-X1,FW2.0,4081,49.3,0.4,11.63,3,96.0,CRITICAL,Controller / Firmware Failure,1
VendorC,Model-X1,FW2.1,538,33.7,0.8,4.5,0,88.5,CRITICAL,Early-Life Defect,1
